epoch,steps,training step,training data,training loss,training prec1,training prec5,training error1,training error5,validation step,validation data,validation loss,validation prec1,validation prec5,validation error1,validation error5
56,21840,0.013247269850510817,0.0019200636790348933,0.26932702181048884,90.57491987179488,99.78365384615384,9.425080128205124,0.2163461538461604,0.013998583902286577,0.010965972007075442,0.558552010011673,82.5,99.39,17.5,0.6099999999999994
57,22230,0.013619836171468098,0.0019951753127269256,0.26466088791688286,90.72315705128206,99.8036858974359,9.276842948717942,0.1963141025641022,0.014192240147650996,0.010544948940035662,0.5790296457767486,83.26,99.25,16.739999999999995,0.75
58,22620,0.013551702254857773,0.0022991400498610275,0.2682416776433969,90.625,99.77764423076923,9.375,0.2223557692307736,0.014081016371521768,0.010731808746917338,0.43512828917503354,86.06,99.57,13.939999999999998,0.4300000000000068
59,23010,0.013440339993207883,0.002207339115631886,0.2637464278783554,90.72115384615384,99.82572115384616,9.27884615384616,0.1742788461538396,0.01392086849936956,0.010523343388038345,0.48984434719085695,85.46,99.41,14.540000000000006,0.5900000000000034
60,23400,0.013669884510529346,0.0019327927858401569,0.25898542906611394,91.0176282051282,99.81370192307692,8.982371794871796,0.1862980769230802,0.014139296133306962,0.010792309724831884,0.47998747115135193,85.41,99.49,14.590000000000003,0.5100000000000051
61,23790,0.013719001183143028,0.0023824166028927536,0.257612635462712,91.01161858974359,99.82171474358974,8.988381410256409,0.1782852564102626,0.013945664031596123,0.010831174971182135,0.49566546869277955,84.83,99.28,15.170000000000002,0.7199999999999989
62,24180,0.013464906888130384,0.002052613405080942,0.2611014056282166,90.859375,99.81971153846153,9.140625,0.180288461538467,0.01410860049573681,0.010280237922185584,0.47014648966789246,85.36,99.42,14.64,0.5799999999999983
63,24570,0.01365203001560309,0.0019149554081452197,0.2572924157174734,90.96153846153847,99.81570512820512,9.038461538461533,0.1842948717948758,0.01420289353479313,0.011035010784487181,0.5329715918540955,83.48,99.42,16.519999999999996,0.5799999999999983
64,24960,0.013996254480802096,0.002316479805188301,0.2561962608916637,91.00560897435898,99.83573717948718,8.994391025641022,0.1642628205128176,0.013969979708707786,0.011045148101034043,0.435405859041214,85.87,99.5,14.129999999999995,0.5
65,25350,0.014046101692395332,0.0025165270536373825,0.25607021951522585,90.98357371794872,99.81370192307692,9.016426282051285,0.1862980769230802,0.016389261318158498,0.013235170629960073,0.42813854484558106,86.61,99.49,13.39,0.5100000000000051
66,25740,0.013609722333076673,0.002270788412827712,0.2541316510966191,91.02564102564102,99.8417467948718,8.974358974358978,0.1582532051282044,0.014141879504240012,0.010020177575606333,0.4657199628829956,85.68,99.48,14.319999999999993,0.519999999999996
67,26130,0.013585734978700295,0.0017575649114755483,0.25483315661549566,90.98557692307692,99.82371794871794,9.01442307692308,0.1762820512820582,0.01415291013596933,0.01078611385973194,0.4888648342132568,84.71,99.39,15.290000000000006,0.6099999999999994
68,26520,0.013309037379729442,0.002187355359395345,0.25369963080455094,91.12580128205128,99.85977564102564,8.874198717948715,0.1402243589743648,0.014045826996429056,0.009779160535788234,0.4527785750389099,85.29,99.37,14.709999999999994,0.6299999999999955
69,26910,0.013406782272534492,0.0022147459861559748,0.2500855118609392,91.2479967948718,99.82772435897436,8.752003205128204,0.1722756410256352,0.014232158660888672,0.010156127470958082,0.4591141458272934,86.39,99.38,13.61,0.6200000000000045
70,27300,0.013490922023088504,0.0020105875455416165,0.24701516290123646,91.37219551282051,99.83373397435898,8.627804487179489,0.166266025641022,0.014031684851344628,0.011045863356771348,0.4385397892475128,86.63,99.45,13.370000000000005,0.5499999999999972
71,27690,0.01380925056261894,0.0021364254829211115,0.2513564676619493,91.04166666666667,99.81770833333333,8.958333333333329,0.1822916666666714,0.014146874222574355,0.011327710332749765,0.4516226298809051,85.82,99.39,14.180000000000007,0.6099999999999994
72,28080,0.013434296999222193,0.0017796938235943134,0.2505814082156389,91.27804487179488,99.83573717948718,8.721955128205124,0.1642628205128176,0.01445864122125167,0.011621107029009469,0.4438097246170044,86.19,99.28,13.810000000000002,0.7199999999999989
73,28470,0.013541801770528158,0.0018841884075066983,0.24789760001958944,91.26802884615384,99.82171474358974,8.73197115384616,0.1782852564102626,0.014380741722976105,0.010940606081033056,0.41017481031417846,86.87,99.61,13.129999999999995,0.39000000000000057
74,28860,0.013536016757671649,0.0017763987565651918,0.24844485219472495,91.2920673076923,99.8036858974359,8.707932692307693,0.1963141025641022,0.01406012003934836,0.011110073403467107,0.4839045035839081,84.91,99.4,15.090000000000003,0.5999999999999943
75,29250,0.013524126395201072,0.002509337205153245,0.24286529108499869,91.33413461538461,99.86177884615384,8.665865384615387,0.1382211538461604,0.013978710657433618,0.010703636121146286,0.46013535375595094,85.66,99.35,14.340000000000003,0.6500000000000057
76,29640,0.01356508915240948,0.001717852323483198,0.2423902077170519,91.44030448717949,99.81570512820512,8.559695512820511,0.1842948717948758,0.013939875590650342,0.01086024393009234,0.4297178832054138,86.32,99.41,13.680000000000007,0.5900000000000034
77,30030,0.013501326243082682,0.0019141631248669746,0.24399946744625384,91.32211538461539,99.83373397435898,8.677884615384613,0.166266025641022,0.014048138751259332,0.010654159739047667,0.44870494627952573,86.12,99.5,13.879999999999995,0.5
78,30420,0.013531061319204478,0.0024000870875823194,0.2426732570123978,91.41626602564102,99.8457532051282,8.583733974358978,0.1542467948717956,0.014151971551436411,0.011221876627282251,0.4759774567127228,85.94,99.51,14.060000000000002,0.4899999999999949
79,30810,0.013547812975369966,0.002212682137122521,0.24455650506111293,91.35817307692308,99.82171474358974,8.64182692307692,0.1782852564102626,0.014005401466466203,0.010171615624729591,0.4528523262023926,86.07,99.51,13.930000000000007,0.4899999999999949
80,31200,0.013557739135546563,0.002028054457444411,0.24523612184402271,91.37419871794872,99.83774038461539,8.625801282051285,0.1622596153846132,0.013992478575887559,0.009863286078730715,0.4328517925739288,86.41,99.63,13.590000000000003,0.37000000000000455
81,31590,0.013436598655505057,0.002562706287090595,0.2413499865012291,91.40024038461539,99.84375,8.599759615384613,0.15625,0.013981152184401886,0.010877382906177376,0.4628012213230133,85.45,99.31,14.549999999999997,0.6899999999999977
82,31980,0.013460052930391752,0.002046088683299529,0.16560232441585798,94.31089743589743,99.9238782051282,5.689102564102569,0.0761217948717956,0.013958638227438624,0.010189666023737267,0.31651080503463747,89.96,99.62,10.040000000000006,0.37999999999999545
83,32370,0.013544898766737718,0.002108490161406688,0.13768435045121571,95.25641025641026,99.92988782051282,4.743589743589737,0.0701121794871824,0.013893996612935127,0.010161725780631922,0.3163018833637238,90.04,99.69,9.959999999999994,0.3100000000000023
84,32760,0.013661022064013359,0.002092857849903596,0.1303735182262384,95.5829326923077,99.9639423076923,4.417067307692307,0.0360576923076934,0.014150565183615382,0.010053969636748109,0.31406726446151734,90.26,99.65,9.739999999999995,0.3499999999999943
